NM_VOTAVEL;NR_ZONA;NM_LOCAL_VOTACAO;DS_LOCAL_VOTACAO_ENDERECO;NM_MUNICIPIO;QT_VOTOS_TOTAL;LATITUDE;LONGITUDE
AMANDA BRANDAO ARMELAU;4;ALIANÇA FRANCESA DE BOTAFOGO;RUA MUNIZ BARRETO 746 / 746-A;RIO DE JANEIRO;6;-229.482.419;-431.843.623
AMANDA BRANDAO ARMELAU;4;CASA DA CRIANÇA;RUA FERNANDES GUIMARAES 85;RIO DE JANEIRO;19;-229.558.466;-4.318.172.190.000.000
AMANDA BRANDAO ARMELAU;4;CASA DE RUI BARBOSA;RUA SÃO CLEMENTE 134;RIO DE JANEIRO;11;-229.488.011;-431.870.261
AMANDA BRANDAO ARMELAU;4;CASA DO COMÉRCIO (FECOMÉRCIO/ SENAC RIO/ SESC RIO);RUA MARQUÊS DE ABRANTES, 99;RIO DE JANEIRO;32;-229.366.769;-431.771.096
AMANDA BRANDAO ARMELAU;4;CENTRO UNIVERSITÁRIO UNIVERITAS;RUA MARQUÊS DE ABRANTES, 55;RIO DE JANEIRO;35;-229.356.754;-431.768.933
AMANDA BRANDAO ARMELAU;4;CIEP - HUMAITÁ;RUA HUMAITÁ S/N;RIO DE JANEIRO;28;-229.592.712;-431.997.525
AMANDA BRANDAO ARMELAU;4;COLEGIO LOGOSÓFICO GONZÁLEZ PECOTCHE;RUA GENERAL POLIDORO, 36;RIO DE JANEIRO;41;-229.526.575;-431.832.096
AMANDA BRANDAO ARMELAU;4;COLEGIO PEDRO II (PEDRAO);RUA HUMAITÁ, 80;RIO DE JANEIRO;35;-229.559.933;-43.198.502
AMANDA BRANDAO ARMELAU;4;COLÉGIO IMACULADA CONCEIÇÃO;PRAIA DE BOTAFOGO 266;RIO DE JANEIRO;28;-229.435.254;-431.821.375
AMANDA BRANDAO ARMELAU;4;COLÉGIO PENSI;RUA MARQUÊS DE ABRANTES, 55;RIO DE JANEIRO;58;-229.352.776;-43.176.873
AMANDA BRANDAO ARMELAU;4;COLÉGIO SANTO INÁCIO;RUA SÃO CLEMENTE, 226;RIO DE JANEIRO;22;-229.488.269;-431.903.866
AMANDA BRANDAO ARMELAU;4;CÍRCULO MILITAR DA PRAIA VERMELHA;PRAÇA GENERAL TIBÚRCIO S/N;RIO DE JANEIRO;26;-229.563.171;-431.651.151
AMANDA BRANDAO ARMELAU;4;ESCOLA ADVENTISTA BOTAFOGO;RUA DA MATRIZ, 16;RIO DE JANEIRO;9;-229.510.577;-4.319.291.399.999.990
AMANDA BRANDAO ARMELAU;4;ESCOLA ALEMÃ CORCOVADO;RUA SÃO CLEMENTE, 388;RIO DE JANEIRO;21;-229.512.252;-431.946.372
AMANDA BRANDAO ARMELAU;4;ESCOLA BRITÂNICA;AVENIDA PASTEUR 429;RIO DE JANEIRO;5;-229.536.679;-431.692.293
AMANDA BRANDAO ARMELAU;4;ESCOLA DINAMIS;RUA BAMBINA 59;RIO DE JANEIRO;12;-229.454.547;-431.852.838
